Thread,Tempo Min,OP/s Max,Tempo Medio,OP/s Medio,Aceleracao
1,5.840134,183855684.368996,6.542811,165024042.677118,1.000000
2,5.382767,199477659.716132,6.380800,169622307.864584,1.027864
3,4.412252,243354589.693818,4.650058,231259182.748186,1.363377
4,2.910812,368880457.306277,3.520803,308051563.814190,1.332061
5,2.651411,404969987.940685,2.849497,377535114.561986,1.225558
6,2.279253,471093735.683701,2.385871,450306185.878456,1.192753
7,2.006949,535011925.856667,2.112982,508667231.497585,1.129603
8,1.795259,598098522.396306,1.878725,571934497.115357,1.124378
