Thread,Tempo Min,OP/s Max,Tempo Medio,OP/s Medio,Aceleracao
1,6.391818,167986914.182363,6.883582,156265288.768202,1.000000
2,5.791760,185391291.819502,6.715133,160442671.134207,1.026732
3,4.522656,237413974.950462,4.757005,225858321.847023,1.407719
4,3.339222,321554521.010014,3.529369,304487102.155773,1.348133
5,2.815152,381415286.120848,2.934217,366194825.061465,1.202661
6,2.307034,465420861.328591,2.416326,444717446.105590,1.214428
7,1.961315,547460190.572734,2.107684,510591795.503120,1.148126
8,1.800612,596320446.848930,1.913978,562114986.995250,1.100908
