Mensagens de tamanho 8, bloqueantes
1819832
1405269
1258954
1281439
2002892
1836543
1261179
1822988
1256262
1403581
Mensagens de tamanho 1024, bloqueantes
113926531
120365065
114388201
114078094
114334169
135613685
113552783
115227967
115308040
114097124
Mensagens de tamanho 4096, bloqueantes
455570645
460368960
463078237
458711208
481293241
454703140
455285033
458881379
453625225
455724254
Mensagens de tamanho 16384, bloqueantes
1840968874
1827552141
1835937029
1835497092
1863130557
1837121510
1820055958
1841839490
1839515347
1861556673
