Mensagens de tamanho 8, nao-bloqueantes
1262930
1289985
1272295
1263984
1259091
1262907
1263612
1267744
1296840
1864644
Mensagens de tamanho 1024, nao-bloqueantes
113925403
114344941
114444667
113980158
114339482
115688396
114621667
114716396
114299401
113831702
Mensagens de tamanho 4096, nao-bloqueantes
458695945
455283413
472699860
459497141
451772485
469583199
454816673
472810239
460856834
463957923
Mensagens de tamanho 16384, nao-bloqueantes
1829395397
1821367179
1825410980
1814226582
1817147741
1826638641
1865247574
1831695836
1841062929
1828226945
